Código,Nombre,Unidad,Familia,Subfamilia,Especialista,Iva,Activo,Servicio
10141,BANDA DE DESGASTE 10.000 X 1.000 X 0.125 ,PIEZA,SELLOS,,False,True,False,False
10142,O-RING 2-274 NBR 70/ OR 10.000 X 10.250 X 0.139 ,PIEZA,SELLOS,,False,True,False,False
10143,B. UP RING 8-448 NBR/BU 9.500 X 10.000 SOLID,PIEZA,SELLOS,,False,True,False,False
10144,O-RING 2-448 NBR 70/ OR 9.500 X 10.000 X 0.275,PIEZA,SELLOS,,False,True,False,False
10145,SELLO AQ-MAQ 10.000 X 9.160 X 0.375 EN TEFLON NIQUEL,PIEZA,SELLOS,,False,True,False,False
10146,SELLO F-4-MAQ 10.000 X 9.055 X 0.319 EN TEFLON BRONCE,PIEZA,SELLOS,,False,True,False,False
10147,SELLO AQ-MAQ 8.000 X 7.160 X 0.375 EN TEFLON NIQUEL ,PIEZA,SELLOS,,False,True,False,False
10148,SELLO F-4-MAQ 7.750 X 8.000 X 0.250 EN TEFLON BRONCE,PIEZA,SELLOS,,False,True,False,False
10149,BANDA DE DESGASTE 8.000 X 0.750 X 0.125,PIEZA,SELLOS,,False,True,False,False
10150,R/P SEAL AU/NBR/RP 1.500 X 1.875 X .375,PIEZA,SELLOS,,False,True,False,False
10151,R/P SEAL AU/NBR/RP 1.500 X 2.125 X .375,PIEZA,SELLOS,,False,True,False,False
10152,B. UP RING 8-236 NBR /BU 3.250 X 3.500 SOLID,PIEZA,SELLOS,,False,True,False,False
10153,SELLO AQ-MAQ 3.500 X 2.884 X 0.288 EN TEFLON-NIQUEL,PIEZA,SELLOS,,False,True,False,False
10154,SELLO AQ-MAQ  5.000 X 4.384 X 0.288 EN TEFLON-NIQUEL ,PIEZA,SELLOS,,False,True,False,False
10155,O-RING 2-248 NBR-70/ OR 4.750 X 5.000 X 0.139,PIEZA,SELLOS,,False,True,False,False
10156,B. UP RING 8-248 NBR /BU 4.750 X 5.000 SOLID,PIEZA,SELLOS,,False,True,False,False
10157,SELLO F-4-MAQ 4.750 X 5.000 X 0.250 EN TEFLON BRONCE ,PIEZA,SELLOS,,False,True,False,False
10158,SELLO F-4-MAQ 3.750 X 4.000 X 0.250  EN TEFLON BRONCE,PIEZA,SELLOS,,False,True,False,False
10159,BANDA DE DESGASTE 5.000 X0.750 X 0.125,PIEZA,SELLOS,,False,True,False,False
10160,BANDA DE DESGASTE 4.000 X 1.000 X 0.125,PIEZA,SELLOS,,False,True,False,False
10161,O-RING 2-437 NBR-70/ OR 6.000 X 6.500 X 0.275,PIEZA,SELLOS,,False,True,False,False
10162,O-RING 2-238 NBR-70/ OR 3.500 X 3.750 X 0.139,PIEZA,SELLOS,,False,True,False,False
10163,O-RING 2-236 NBR-70/OR 3.250 x 3.500 x 0.139,PIEZA,SELLOS,,False,True,False,False
10164,O-RING 2-248 NBR-70/OR 4.750 x 5.000 x 0.139,PIEZA,SELLOS,,False,True,False,False
10165,B. UP RING 8-248 NBR/BU 4.750 x 5.000 x SOLID,PIEZA,SELLOS,,False,True,False,False
10166,O-RING 2-250 NBR-70/ OR 5.000 x 5.250 x 0.139,PIEZA,SELLOS,,False,True,False,False
10167,R. WIPER - AU-STEEL-RW 2.500 x 3.000 x 0.312,PIEZA,SELLOS,,False,True,False,False
10168,SELLO AQ-MAQ 5.000 X 4.384 X 0.288 EN TEFLON NIQUEL,PIEZA,SELLOS,,False,True,False,False
10169,SELLO F-4-MAQ 4.750 X 5.00 X 0.250 EN TEFLON BRONCE,PIEZA,SELLOS,,False,True,False,False
10170,SELLO AQ-MAQ 8.000 X 7.160 X 0.375 EN TEFLON NIQUEL,PIEZA,SELLOS,,False,True,False,False
10171,SELLO F-4-MAQ  7.750 X 8.000 X 0.250 EN TEFLON BRONCE,PIEZA,SELLOS,,False,True,False,False
10172,BANDA DE DESGASTE 5.000 x 1.000 x 0.125,PIEZA,SELLOS,,False,True,False,False
10173,O-RING 2-443 NBR-70/ OR 7.500 x 8.000 x 0.275,PIEZA,SELLOS,,False,True,False,False
10174,B. UP RING 8-443 NBR/BU 7.500 x 8.000 SOLID,PIEZA,SELLOS,,False,True,False,False
10175,O-RING 2-265 NBR-70/ OR 7.750 x 8.000 x 0.139,PIEZA,SELLOS,,False,True,False,False
10176,B. UP RING 8-265 NBR/BU 7.750 x 8.000 SOLID,PIEZA,SELLOS,,False,True,False,False
10177,O-RING 2-441 NBR-70/ OR 7.000 x 7.500 x 0.275,PIEZA,SELLOS,,False,True,False,False
10178,R/P-SEAL AU/NBR/RP 2.500 X 2.875 X 0.413 (PTB187-2500-375-J1S),PIEZA,SELLOS,,False,True,False,False
10179,R/P-SEAL AU/NBR/RP 2.500 x 3.125 x 0.413 (PTB312-2500-375-J1S),PIEZA,SELLOS,,False,True,False,False
10180,R. WIPER - AU/ STEEL/ RW 1.500 x 2.000 x 0.312,PIEZA,SELLOS,,False,True,False,False
10181,R/P SEAL AU/ NBK/ RP 1.500 x 1.875 x 0.375 CON O-RING DE 3 MM,PIEZA,SELLOS,,False,True,False,False
10182,O-RING 2-228 NBR-70/ OR 2.250 X 2.500 X 0.139,PIEZA,SELLOS,,False,True,False,False
10183,B. UP RING 8-228 NBR/BU 2.250 X 2.500 SOLID,PIEZA,SELLOS,,False,True,False,False
10184,O-RING 2-240 NBR-70/ OR 3.750 X 4.000 X 0.139,PIEZA,SELLOS,,False,True,False,False
10185,B. UP RING 8-240 NBR/BU 3.750 X 4.000 SOLID,PIEZA,SELLOS,,False,True,False,False
10186,SELLO AQ-MAQ 3.584 X 4.000 X 0.288 EN TEFLON NIQUEL,PIEZA,SELLOS,,False,True,False,False
10187,SELLO F-4 MAQ 3.750 X 4.000 X 0.250 EN TEFLON BRONCE,PIEZA,SELLOS,,False,True,False,False
10188,BANDA DE DESGASTE 4.000 x 0.750 x 0.125,PIEZA,SELLOS,,False,True,False,False
10189,BANDA DE DESGASTE 3.500 x 1.000 x 0.125,PIEZA,SELLOS,,False,True,False,False
10190,O-RING 2-348 NBR-70/ OR 4.350 X 4.750 X 0.210,PIEZA,SELLOS,,False,True,False,False
10191,B. UP RING 8-348 NBR/BU 4.350 X 4.750 SOLID,PIEZA,SELLOS,,False,True,False,False
10192,O-RING 2-222 NBR-70/ OR 1.500 X 1.750 X 0.139,PIEZA,SELLOS,,False,True,False,False
