Código (producto),Distrito,Almacen,Ubicación,Estante,Cantidad,Precio,Minimo,Comentario
M008,Planta Veracruz,Motos,CONTENEDOR,A-1,46,98.58,0,23/10/2023 UHG
M009,Planta Veracruz,Motos,CONTENEDOR,A-1,22,50.10,0,23/10/2023 UHG
M010,Planta Veracruz,Motos,CONTENEDOR,B-1,73,75.15,0,23/10/2023 UHG
M011,Planta Veracruz,Motos,CONTENEDOR,B-2,43,69.00,0,23/10/2023 UHG
M012,Planta Veracruz,Motos,CONTENEDOR,B-1,40,175.00,0,23/10/2023 UHG
M013,Planta Veracruz,Motos,CONTENEDOR,B-2,44,71.94,0,23/10/2023 UHG
M014,Planta Veracruz,Motos,CONTENEDOR,B-3,5,474.14,0,23/10/2023 UHG
M015,Planta Veracruz,Motos,CONTENEDOR,K-4,225,12.00,0,23/10/2023 UHG
M016,Planta Veracruz,Motos,CONTENEDOR,L-4,269,15.00,0,23/10/2023 UHG
M017,Planta Veracruz,Motos,CONTENEDOR,C-4,80,10.00,0,23/10/2023 UHG
M018,Planta Veracruz,Motos,CONTENEDOR,C-4,399,35.65,0,23/10/2023 UHG
M019,Planta Veracruz,Motos,CONTENEDOR,B-4,270,35.65,0,23/10/2023 UHG
M020,Planta Veracruz,Motos,CONTENEDOR,C-1,108,206.89,0,23/10/2023 UHG
M021,Planta Veracruz,Motos,CONTENEDOR,C-1,4,190.24,0,23/10/2023 UHG
M022,Planta Veracruz,Motos,CONTENEDOR,C-2 / D-2,82,830.85,0,23/10/2023 UHG
M023,Planta Veracruz,Motos,CONTENEDOR,D-1,24,167.96,0,23/10/2023 UHG
M024,Planta Veracruz,Motos,CONTENEDOR,D-3 /E-3 /F-3,33,913.43,0,23/10/2023 UHG
M025,Planta Veracruz,Motos,CONTENEDOR,F-2,27,211.96,0,23/10/2023 UHG
M026,Planta Veracruz,Motos,CONTENEDOR,E-2,2,211.96,0,23/10/2023 UHG
M027,Planta Veracruz,Motos,CONTENEDOR,E-1,112,202.33,0,23/10/2023 UHG
M028,Planta Veracruz,Motos,CONTENEDOR,F-1,26,315.00,0,23/10/2023 UHG
M029,Planta Veracruz,Motos,CONTENEDOR,G-1,29,170.20,0,23/10/2023 UHG
M030,Planta Veracruz,Motos,CONTENEDOR,H-1,16,93.78,0,23/10/2023 UHG
M031,Planta Veracruz,Motos,CONTENEDOR,H-1,2,295.72,0,23/10/2023 UHG
M032,Planta Veracruz,Motos,CONTENEDOR,G-3,16,1465.43,0,23/10/2023 UHG
M033,Planta Veracruz,Motos,CONTENEDOR,G-2,12,64.23,0,23/10/2023 UHG
M034,Planta Veracruz,Motos,CONTENEDOR,G-2,35,50.42,0,23/10/2023 UHG
M035,Planta Veracruz,Motos,CONTENEDOR,H-2,34,404.66,0,23/10/2023 UHG
M036,Planta Veracruz,Motos,CONTENEDOR,I-2,123,6.21,0,23/10/2023 UHG
M037,Planta Veracruz,Motos,CONTENEDOR,I-3,41,21.52,0,23/10/2023 UHG
M038,Planta Veracruz,Motos,CONTENEDOR,I-2,174,30.17,0,23/10/2023 UHG
M039,Planta Veracruz,Motos,CONTENEDOR,I-2,108,95.00,0,23/10/2023 UHG
M040,Planta Veracruz,Motos,CONTENEDOR,I-3,7,250.00,0,23/10/2023 UHG
M041,Planta Veracruz,Motos,CONTENEDOR,I-3,20,16.43,0,23/10/2023 UHG
M042,Planta Veracruz,Motos,CONTENEDOR,I-3,24,1.93,0,23/10/2023 UHG
M043,Planta Veracruz,Motos,CONTENEDOR,I-3,32,1.93,0,23/10/2023 UHG
M044,Planta Veracruz,Motos,CONTENEDOR,I-3,71,36.14,0,23/10/2023 UHG
M045,Planta Veracruz,Motos,CONTENEDOR,I-3,31,6.03,0,23/10/2023 UHG
M046,Planta Veracruz,Motos,CONTENEDOR,I-3,49,3.29,0,23/10/2023 UHG
M047,Planta Veracruz,Motos,CONTENEDOR,I-3,11,54.00,0,23/10/2023 UHG
M048,Planta Veracruz,Motos,CONTENEDOR,I-3,46,315.52,0,23/10/2023 UHG
M049,Planta Veracruz,Motos,CONTENEDOR,J-2,41,188.20,0,23/10/2023 UHG
M050,Planta Veracruz,Motos,CONTENEDOR,J-2,44,54.60,0,23/10/2023 UHG
M051,Planta Veracruz,Motos,CONTENEDOR,J-1,3,385.39,0,23/10/2023 UHG
M052,Planta Veracruz,Motos,CONTENEDOR,K-3,36,284.21,0,23/10/2023 UHG
M053,Planta Veracruz,Motos,CONTENEDOR,J-4,48,254.65,0,23/10/2023 UHG
M054,Planta Veracruz,Motos,CONTENEDOR,K-3,31,82.15,0,23/10/2023 UHG
M055,Planta Veracruz,Motos,CONTENEDOR,K-3,37,82.15,0,23/10/2023 UHG
M056,Planta Veracruz,Motos,CONTENEDOR,J-2,34,610.20,0,23/10/2023 UHG
M057,Planta Veracruz,Motos,CONTENEDOR,J-2,7,324.37,0,23/10/2023 UHG
M058,Planta Veracruz,Motos,CONTENEDOR,K-1,18,54.00,0,23/10/2023 UHG
M059,Planta Veracruz,Motos,CONTENEDOR,J-2,14,1.20,0,23/10/2023 UHG
M060,Planta Veracruz,Motos,CONTENEDOR,J-2,40,312.14,0,23/10/2023 UHG
M061,Planta Veracruz,Motos,CONTENEDOR,K-1,4,657.14,0,23/10/2023 UHG
M062,Planta Veracruz,Motos,CONTENEDOR,L-1,6,279.29,0,23/10/2023 UHG
M063,Planta Veracruz,Motos,CONTENEDOR,K-2,16,50.10,0,23/10/2023 UHG
M064,Planta Veracruz,Motos,CONTENEDOR,K-3,60,40.79,0,23/10/2023 UHG
M065,Planta Veracruz,Motos,CONTENEDOR,K-3,9,802.59,0,23/10/2023 UHG
M066,Planta Veracruz,Motos,CONTENEDOR,L-3,43,195.00,0,23/10/2023 UHG
M067,Planta Veracruz,Motos,CONTENEDOR,L-3,36,185.24,0,23/10/2023 UHG
M068,Planta Veracruz,Motos,CONTENEDOR,L-2 / M-2,99,755.72,0,23/10/2023 UHG
M069,Planta Veracruz,Motos,CONTENEDOR,M-3 / O-3,50,180.49,0,23/10/2023 UHG
M070,Planta Veracruz,Motos,CONTENEDOR,O-2,98,157.72,0,23/10/2023 UHG
M071,Planta Veracruz,Motos,CONTENEDOR,N-3,39,5.00,0,23/10/2023 UHG
M072,Planta Veracruz,Motos,CONTENEDOR,N-3,19,484.95,0,23/10/2023 UHG
M073,Planta Veracruz,Motos,CONTENEDOR,N-1,17,343.06,0,23/10/2023 UHG
M074,Planta Veracruz,Motos,CONTENEDOR,O-2,254,20.00,0,23/10/2023 UHG
M075,Planta Veracruz,Motos,CONTENEDOR,M-4 / N/4,810,112.40,0,23/10/2023 UHG
M076,Planta Veracruz,Motos,CONTENEDOR,O-4 / P-4/ Q-4,172,565.23,0,23/10/2023 UHG
M077,Planta Veracruz,Motos,CONTENEDOR,P-2,24,213.57,0,23/10/2023 UHG
M078,Planta Veracruz,Motos,CONTENEDOR,O-3,32,182.25,0,23/10/2023 UHG
M079,Planta Veracruz,Motos,CONTENEDOR,Q-2,10,300.86,0,23/10/2023 UHG
M080,Planta Veracruz,Motos,CONTENEDOR,G-4,38,69.00,0,23/10/2023 UHG
M081,Planta Veracruz,Motos,AL1,RACK1,285,483.06,0,23/10/2023 UHG
M082,Planta Veracruz,Motos,AL1,A-1,17,224.65,0,23/10/2023 UHG
M083,Planta Veracruz,Motos,AL1,A-1,7,250.00,0,23/10/2023 UHG
M084,Planta Veracruz,Motos,AL1,A-2,4,189.00,0,23/10/2023 UHG
M085,Planta Veracruz,Motos,AL1,A-2,1,72.41,0,23/10/2023 UHG
M086,Planta Veracruz,Motos,AL1,A-3,2,5.60,0,23/10/2023 UHG
M087,Planta Veracruz,Motos,AL1,A-3,89,2.68,0,23/10/2023 UHG
M088,Planta Veracruz,Motos,AL1,A-3,9,66.50,0,23/10/2023 UHG
M089,Planta Veracruz,Motos,AL1,A-3,9,133.40,0,23/10/2023 UHG
M090,Planta Veracruz,Motos,AL1,A-3,5,110.00,0,23/10/2023 UHG
M091,Planta Veracruz,Motos,AL1,A-3,4,127.54,0,23/10/2023 UHG
M092,Planta Veracruz,Motos,AL1,A-4,14,17.24,0,23/10/2023 UHG
M093,Planta Veracruz,Motos,AL1,A-4,6,10.00,0,23/10/2023 UHG
M094,Planta Veracruz,Motos,AL1,A-4,42,20.69,0,23/10/2023 UHG
M095,Planta Veracruz,Motos,AL1,A-4,50,3.89,0,23/10/2023 UHG
M096,Planta Veracruz,Motos,AL1,A-4,25,0.30,0,23/10/2023 UHG
M097,Planta Veracruz,Motos,AL1,A-4,36,19.47,0,23/10/2023 UHG
M098,Planta Veracruz,Motos,AL1,A-4,49,1.13,0,23/10/2023 UHG
M099,Planta Veracruz,Motos,AL1,A-4,41,5.00,0,23/10/2023 UHG
M100,Planta Veracruz,Motos,AL1,A-4,100,2.78,0,23/10/2023 UHG
M101,Planta Veracruz,Motos,AL1,A-4,78,2.78,0,23/10/2023 UHG
M102,Planta Veracruz,Motos,AL1,A-4,100,0.80,0,23/10/2023 UHG
M103,Planta Veracruz,Motos,AL1,A-4,47,3.50,0,23/10/2023 UHG
M104,Planta Veracruz,Motos,AL1,A-4,38,5.00,0,23/10/2023 UHG
M105,Planta Veracruz,Motos,AL1,A-4,30,5.00,0,23/10/2023 UHG
M106,Planta Veracruz,Motos,AL1,A-4,40,4.50,0,23/10/2023 UHG
M107,Planta Veracruz,Motos,AL1,A-4,30,2.78,0,23/10/2023 UHG
M108,Planta Veracruz,Motos,AL1,A-4,32,1.50,0,23/10/2023 UHG
M109,Planta Veracruz,Motos,AL1,A-4,63,4.58,0,23/10/2023 UHG
M110,Planta Veracruz,Motos,AL1,A-4,0,6.04,0,23/10/2023 UHG
M111,Planta Veracruz,Motos,AL1,A-4,0,6.03,0,23/10/2023 UHG
M112,Planta Veracruz,Motos,AL1,B-2,1,78.78,0,23/10/2023 UHG
M113,Planta Veracruz,Motos,AL1,B-2,15,27.59,0,23/10/2023 UHG
M114,Planta Veracruz,Motos,AL1,B-2,6,29.78,0,23/10/2023 UHG
M115,Planta Veracruz,Motos,AL1,B-2,3,10.34,0,23/10/2023 UHG
M116,Planta Veracruz,Motos,AL1,B-3,2,112.93,0,23/10/2023 UHG
M117,Planta Veracruz,Motos,AL1,B-3,4,112.93,0,23/10/2023 UHG
M118,Planta Veracruz,Motos,AL1,B-3,2,139.67,0,23/10/2023 UHG
M119,Planta Veracruz,Motos,AL1,B-3,7,20.00,0,23/10/2023 UHG
M120,Planta Veracruz,Motos,AL1,B-3,5,117.25,0,23/10/2023 UHG
M121,Planta Veracruz,Motos,AL1,B-3,0,58.59,0,23/10/2023 UHG
M122,Planta Veracruz,Motos,AL1,B-3,6,142.24,0,23/10/2023 UHG
M124,Planta Veracruz,Motos,AL1,B-4,13,21.19,0,23/10/2023 UHG
M125,Planta Veracruz,Motos,AL1,B-4,12,30.39,0,23/10/2023 UHG
M126,Planta Veracruz,Motos,AL1,B-4,2,35.15,0,23/10/2023 UHG
M127,Planta Veracruz,Motos,AL1,B-4,19,44.55,0,23/10/2023 UHG
M128,Planta Veracruz,Motos,AL1,B-4,20,39.57,0,23/10/2023 UHG
M129,Planta Veracruz,Motos,AL1,B-4,4,162.70,0,23/10/2023 UHG
M130,Planta Veracruz,Motos,AL1,B-4,1,160.66,0,23/10/2023 UHG
M132,Planta Veracruz,Motos,AL1,B-4,11,91.95,0,23/10/2023 UHG
M133,Planta Veracruz,Motos,AL1,C-1,1,1015.09,0,23/10/2023 UHG
M134,Planta Veracruz,Motos,AL1,C-2,15,146.45,0,23/10/2023 UHG
M135,Planta Veracruz,Motos,AL1,C-2,15,999.14,0,23/10/2023 UHG
M136,Planta Veracruz,Motos,AL1,C-2,2,410.00,0,23/10/2023 UHG
M138,Planta Veracruz,Motos,AL1,C-3,100,10.13,0,23/10/2023 UHG
M139,Planta Veracruz,Motos,AL1,C-3,6,66.01,0,23/10/2023 UHG
M140,Planta Veracruz,Motos,AL1,C-3,4,258.62,0,23/10/2023 UHG
M141,Planta Veracruz,Motos,AL1,C-3,1,23.25,0,23/10/2023 UHG
M142,Planta Veracruz,Motos,AL1,C-3,7,21.55,0,23/10/2023 UHG
M143,Planta Veracruz,Motos,AL1,C-3,6,118.00,0,23/10/2023 UHG
M144,Planta Veracruz,Motos,AL1,C-3,0,129.35,0,23/10/2023 UHG
M145,Planta Veracruz,Motos,AL1,C-3,138,16.26,0,23/10/2023 UHG
M146,Planta Veracruz,Motos,AL1,C-3,46,73.28,0,23/10/2023 UHG
M147,Planta Veracruz,Motos,AL1,C-3,4,39.00,0,23/10/2023 UHG
M148,Planta Veracruz,Motos,AL1,C-3,278,3.85,0,23/10/2023 UHG
M149,Planta Veracruz,Motos,AL1,C-4,2,998.55,0,23/10/2023 UHG
M150,Planta Veracruz,Motos,AL1,C-4,1,52.59,0,23/10/2023 UHG
M151,Planta Veracruz,Motos,AL1,C-4,1,130.00,0,23/10/2023 UHG
M152,Planta Veracruz,Motos,AL1,C-4,1,13.50,0,23/10/2023 UHG
M153,Planta Veracruz,Motos,AL1,C-4,0,1932.44,0,23/10/2023 UHG
M154,Planta Veracruz,Motos,AL1,D-1,1,348.36,0,23/10/2023 UHG
M155,Planta Veracruz,Motos,AL1,D-1,3,385.69,0,23/10/2023 UHG
M156,Planta Veracruz,Motos,AL1,D-1,14,820.18,0,23/10/2023 UHG
M157,Planta Veracruz,Motos,AL1,D-1,34,649.00,0,23/10/2023 UHG
M158,Planta Veracruz,Motos,AL1,D-2,4,450.00,0,23/10/2023 UHG
M159,Planta Veracruz,Motos,AL1,D-2,2,525.00,0,23/10/2023 UHG
M162,Planta Veracruz,Motos,AL1,D-3,2,207.00,0,23/10/2023 UHG
M163,Planta Veracruz,Motos,AL1,D-3,2,266.00,0,23/10/2023 UHG
M164,Planta Veracruz,Motos,AL1,D-3,0,127.00,0,23/10/2023 UHG
M165,Planta Veracruz,Motos,AL1,D-3,3,95.00,0,23/10/2023 UHG
M166,Planta Veracruz,Motos,AL1,D-3,0,352.92,0,23/10/2023 UHG
M167,Planta Veracruz,Motos,AL1,D-3,80,60.00,0,23/10/2023 UHG
M168,Planta Veracruz,Motos,AL1,D-3,4,590.00,0,23/10/2023 UHG
M169,Planta Veracruz,Motos,AL1,D-3,70,7.66,0,23/10/2023 UHG
M170,Planta Veracruz,Motos,AL1,D-3,1,478.45,0,23/10/2023 UHG
M171,Planta Veracruz,Motos,AL1,D-4,20,2.50,0,23/10/2023 UHG
M172,Planta Veracruz,Motos,AL1,D-4,3,53.59,0,23/10/2023 UHG
M173,Planta Veracruz,Motos,AL1,D-4,2,70.00,0,23/10/2023 UHG
M174,Planta Veracruz,Motos,AL1,D-4,2,511.20,0,23/10/2023 UHG
M175,Planta Veracruz,Motos,AL1,D-4,25,47.00,0,23/10/2023 UHG
M177,Planta Veracruz,Motos,AL1,D-4,9,20.00,0,23/10/2023 UHG
M179,Planta Veracruz,Motos,AL1,D-4,16,8.00,0,23/10/2023 UHG
M180,Planta Veracruz,Motos,AL1,D-4,6,5.00,0,23/10/2023 UHG
M181,Planta Veracruz,Motos,AL1,D-4,2,70.00,0,23/10/2023 UHG
M182,Planta Veracruz,Motos,AL1,D-4,12,0.25,0,23/10/2023 UHG
M183,Planta Veracruz,Motos,AL1,D-4,2,40.00,0,23/10/2023 UHG
M184,Planta Veracruz,Motos,AL1,D-4,2,20.00,0,23/10/2023 UHG
M185,Planta Veracruz,Motos,AL1,D-4,6,219.40,0,23/10/2023 UHG
M186,Planta Veracruz,Motos,AL1,D-4,20,45.00,0,23/10/2023 UHG
M187,Planta Veracruz,Motos,AL1,D-4,20,2.20,0,23/10/2023 UHG
M188,Planta Veracruz,Motos,AL1,D-4,57,2.20,0,23/10/2023 UHG
M189,Planta Veracruz,Motos,AL1,E-1,1,7759.48,0,23/10/2023 UHG
M190,Planta Veracruz,Motos,AL1,E-2,18,421.00,0,23/10/2023 UHG
M191,Planta Veracruz,Motos,AL1,E-2,2,411.66,0,23/10/2023 UHG
M192,Planta Veracruz,Motos,AL1,F-2,5,205.04,0,23/10/2023 UHG
M193,Planta Veracruz,Motos,AL1,F-2,10,990.00,0,23/10/2023 UHG
M194,Planta Veracruz,Motos,AL1,F-2,7,531.00,0,23/10/2023 UHG
M195,Planta Veracruz,Motos,AL1,F-2,4,49.00,0,23/10/2023 UHG
M196,Planta Veracruz,Motos,AL1,F-2,2,377.00,0,23/10/2023 UHG
M197,Planta Veracruz,Motos,AL1,F-3,14,136.96,0,23/10/2023 UHG
M198,Planta Veracruz,Motos,AL1,G-2,2,1482.02,0,23/10/2023 UHG
M199,Planta Veracruz,Motos,AL1,G-2,4,195.00,0,23/10/2023 UHG
M200,Planta Veracruz,Motos,AL1,G-2,3,118.97,0,23/10/2023 UHG
M201,Planta Veracruz,Motos,AL1,G-2,5,0.00,0,23/10/2023 UHG
M202,Planta Veracruz,Motos,AL1,G-2,0,142.63,0,23/10/2023 UHG
M203,Planta Veracruz,Motos,AL1,G-2,4,167.20,0,23/10/2023 UHG
M204,Planta Veracruz,Motos,AL1,G-2,2,0.00,0,23/10/2023 UHG
M205,Planta Veracruz,Motos,AL1,G-1,2,198.00,0,23/10/2023 UHG
M206,Planta Veracruz,Motos,AL1,G-1,12,4.90,0,23/10/2023 UHG
M207,Planta Veracruz,Motos,AL1,G-1,1,50.00,0,23/10/2023 UHG
M208,Planta Veracruz,Motos,AL1,G-1,6,20.00,0,23/10/2023 UHG
M209,Planta Veracruz,Motos,AL1,G-1,18,20.00,0,23/10/2023 UHG
M210,Planta Veracruz,Motos,AL1,G-1,2,136.30,0,23/10/2023 UHG
M211,Planta Veracruz,Motos,AL1,G-1,1,94.83,0,23/10/2023 UHG
M212,Planta Veracruz,Motos,AL1,G-1,1,125.17,0,23/10/2023 UHG
M213,Planta Veracruz,Motos,AL1,G-1,0,73.28,0,23/10/2023 UHG
M214,Planta Veracruz,Motos,AL1,G-1,3,89.31,0,23/10/2023 UHG
M215,Planta Veracruz,Motos,AL1,G-1,4,350.00,0,23/10/2023 UHG
M216,Planta Veracruz,Motos,AL1,G-1,0,87.07,0,23/10/2023 UHG
M217,Planta Veracruz,Motos,AL1,G-1,0,51.72,0,23/10/2023 UHG
M218,Planta Veracruz,Motos,AL1,G-1,32,182.43,0,23/10/2023 UHG
M219,Planta Veracruz,Motos,AL1,G-1,4,94.83,0,23/10/2023 UHG
M220,Planta Veracruz,Motos,AL1,G-1,12,253.55,0,23/10/2023 UHG
M221,Planta Veracruz,Motos,AL1,G-1,16,253.55,0,23/10/2023 UHG
M222,Planta Veracruz,Motos,AL1,G-2,9,2065.07,0,23/10/2023 UHG
M223,Planta Veracruz,Motos,AL1,G-1,5,646.55,0,23/10/2023 UHG
M224,Planta Veracruz,Motos,AL1,G-1,3,44.00,0,23/10/2023 UHG
M225,Planta Veracruz,Motos,AL1,H-1,6,159.05,0,23/10/2023 UHG
M226,Planta Veracruz,Motos,AL1,H-1,0,0.00,0,23/10/2023 UHG
M227,Planta Veracruz,Motos,AL1,H-1,6,90.00,0,23/10/2023 UHG
M228,Planta Veracruz,Motos,AL1,H-1,4,22.97,0,23/10/2023 UHG
M229,Planta Veracruz,Motos,AL1,H-1,1,0.00,0,23/10/2023 UHG
M230,Planta Veracruz,Motos,AL1,H-1,19,70.00,0,23/10/2023 UHG
M231,Planta Veracruz,Motos,AL1,H-1,75,3.13,0,23/10/2023 UHG
M232,Planta Veracruz,Motos,AL1,H-1,5,159.00,0,23/10/2023 UHG
M233,Planta Veracruz,Motos,AL1,H-1,6,37.07,0,23/10/2023 UHG
M234,Planta Veracruz,Motos,AL1,H-1,3,105.00,0,23/10/2023 UHG
M235,Planta Veracruz,Motos,AL1,H-1,11,94.83,0,23/10/2023 UHG
M236,Planta Veracruz,Motos,AL1,H-1,1,20.00,0,23/10/2023 UHG
M237,Planta Veracruz,Motos,AL1,H-1,1,81.00,0,23/10/2023 UHG
M238,Planta Veracruz,Motos,AL1,H-1,2,79.00,0,23/10/2023 UHG
M239,Planta Veracruz,Motos,AL1,H-1,0,135.00,0,23/10/2023 UHG
M240,Planta Veracruz,Motos,AL1,H-1,2,79.00,0,23/10/2023 UHG
M241,Planta Veracruz,Motos,AL1,H-2,1,395.00,0,23/10/2023 UHG
M242,Planta Veracruz,Motos,AL1,H-2,4,1691.00,0,23/10/2023 UHG
M243,Planta Veracruz,Motos,AL1,H-2,1,1780.00,0,23/10/2023 UHG
M244,Planta Veracruz,Motos,AL1,H-2,3,188.00,0,23/10/2023 UHG
M245,Planta Veracruz,Motos,AL1,H-2,0,948.28,0,23/10/2023 UHG
M246,Planta Veracruz,Motos,AL1,H-2,2,1521.01,0,23/10/2023 UHG
M247,Planta Veracruz,Motos,AL1,H-2,2,1189.00,0,23/10/2023 UHG
M248,Planta Veracruz,Motos,AL1,H-1,2,5.00,0,23/10/2023 UHG
M249,Planta Veracruz,Motos,AL1,H-2,1,4015.00,0,23/10/2023 UHG
M250,Planta Veracruz,Motos,AL1,E-4,2,299.00,0,23/10/2023 UHG
M251,Planta Veracruz,Motos,AL1,E-3,4,299.00,0,23/10/2023 UHG
M252,Planta Veracruz,Motos,AL1,G-2,6,764.00,0,23/10/2023 UHG
