Código (producto),Distrito,Almacen,Ubicación,Estante,Cantidad,Precio,Minimo,Comentario
M253,Planta Veracruz,Motos,AL1,E-4,2,2500.00,0,23/10/2023 UHG
M254,Planta Veracruz,Motos,AL1,E-4,3,323.09,0,23/10/2023 UHG
M255,Planta Veracruz,Motos,AL1,E-4,2,409.27,0,23/10/2023 UHG
M256,Planta Veracruz,Motos,AL1,E-4,2,168.00,0,23/10/2023 UHG
M257,Planta Veracruz,Motos,AL1,E-4,1,790.00,0,23/10/2023 UHG
M258,Planta Veracruz,Motos,AL1,E-4,1,110.99,0,23/10/2023 UHG
M259,Planta Veracruz,Motos,AL1,E-4,24,539.00,0,23/10/2023 UHG
M260,Planta Veracruz,Motos,AL1,E-4,10,0.00,0,23/10/2023 UHG
M262,Planta Veracruz,Motos,AL2,A-2,1,1190.00,0,23/10/2023 UHG
M264,Planta Veracruz,Motos,AL2,A-3,17,509.00,0,23/10/2023 UHG
M266,Planta Veracruz,Motos,AL2,A-3,6,120.00,0,23/10/2023 UHG
M267,Planta Veracruz,Motos,AL2,A-4,34,85.15,0,23/10/2023 UHG
M268,Planta Veracruz,Motos,AL2,A-4,17,115.00,0,23/10/2023 UHG
M269,Planta Veracruz,Motos,AL2,A-4,2,266.94,0,23/10/2023 UHG
M270,Planta Veracruz,Motos,AL2,A-4,64,43.36,0,23/10/2023 UHG
M271,Planta Veracruz,Motos,AL2,B-1,17,175.67,0,23/10/2023 UHG
M272,Planta Veracruz,Motos,AL2,B-2,7,578.29,0,23/10/2023 UHG
M273,Planta Veracruz,Motos,AL2,B3 Y B4,13,213.57,0,23/10/2023 UHG
M274,Planta Veracruz,Motos,AL2,B-4,16,171.50,0,23/10/2023 UHG
M275,Planta Veracruz,Motos,AL2,B-4,33,93.78,0,23/10/2023 UHG
M276,Planta Veracruz,Motos,AL2,B-4,3,213.57,0,23/10/2023 UHG
M277,Planta Veracruz,Motos,AL2,C-1 Y D-1,7,211.96,0,23/10/2023 UHG
M278,Planta Veracruz,Motos,AL2,C-2,11,141.95,0,23/10/2023 UHG
M279,Planta Veracruz,Motos,AL2,C-3,3,219.81,0,23/10/2023 UHG
M280,Planta Veracruz,Motos,AL2,C-3,19,295.72,0,23/10/2023 UHG
M281,Planta Veracruz,Motos,AL2,C-3,6,42.67,0,23/10/2023 UHG
M282,Planta Veracruz,Motos,AL2,C-3,3,42.67,0,23/10/2023 UHG
M283,Planta Veracruz,Motos,AL2,C-3,3,42.67,0,23/10/2023 UHG
M284,Planta Veracruz,Motos,AL2,D-1,13,157.72,0,23/10/2023 UHG
M285,Planta Veracruz,Motos,AL2,D-2,6,98.57,0,23/10/2023 UHG
M286,Planta Veracruz,Motos,AL2,D-2,8,6.17,0,23/10/2023 UHG
M287,Planta Veracruz,Motos,AL2,D-2,17,0.00,0,23/10/2023 UHG
M290,Planta Veracruz,Motos,AL2,D-2,22,0.00,0,23/10/2023 UHG
M291,Planta Veracruz,Motos,AL2,D-2,61,13.49,0,23/10/2023 UHG
M292,Planta Veracruz,Motos,AL2,D-2,16,51.72,0,23/10/2023 UHG
M293,Planta Veracruz,Motos,AL2,D-3,12,69.05,0,23/10/2023 UHG
M294,Planta Veracruz,Motos,AL2,D-3,9,0.00,0,23/10/2023 UHG
M295,Planta Veracruz,Motos,AL2,D-3,11,40.79,0,23/10/2023 UHG
M296,Planta Veracruz,Motos,AL2,D-3,2,50.42,0,23/10/2023 UHG
M297,Planta Veracruz,Motos,AL2,D-3,6,50.42,0,23/10/2023 UHG
M298,Planta Veracruz,Motos,AL2,D-3,8,16.43,0,23/10/2023 UHG
M299,Planta Veracruz,Motos,AL2,D-3,23,36.14,0,23/10/2023 UHG
M300,Planta Veracruz,Motos,AL2,D-3,24,36.14,0,23/10/2023 UHG
M301,Planta Veracruz,Motos,AL2,D-4,40,11.02,0,23/10/2023 UHG
M302,Planta Veracruz,Motos,AL2,E-1,5,157.72,0,23/10/2023 UHG
M303,Planta Veracruz,Motos,AL2,E-1,3,580.95,0,23/10/2023 UHG
M304,Planta Veracruz,Motos,AL2,E-2,12,0.00,0,23/10/2023 UHG
M305,Planta Veracruz,Motos,AL2,E-2,12,0.00,0,23/10/2023 UHG
M306,Planta Veracruz,Motos,AL2,E-2,13,0.00,0,23/10/2023 UHG
M307,Planta Veracruz,Motos,AL2,E-2,14,0.00,0,23/10/2023 UHG
M309,Planta Veracruz,Motos,AL2,E-3,12,150.00,0,23/10/2023 UHG
M310,Planta Veracruz,Motos,AL2,E-3,2,71.94,0,23/10/2023 UHG
M313,Planta Veracruz,Motos,AL2,E-4,150,72.29,0,23/10/2023 UHG
M314,Planta Veracruz,Motos,AL2,E-4,40,72.29,0,23/10/2023 UHG
M315,Planta Veracruz,Motos,AL2,E-4,24,14.40,0,23/10/2023 UHG
M316,Planta Veracruz,Motos,AL2,E-4,15,72.29,0,23/10/2023 UHG
M317,Planta Veracruz,Motos,AL2,E-5,7,10441.69,0,23/10/2023 UHG
M318,Planta Veracruz,Motos,AL2,"F-1,F-2.G-2",13,918.15,0,23/10/2023 UHG
M319,Planta Veracruz,Motos,AL2,F-2,9,92.00,0,23/10/2023 UHG
M320,Planta Veracruz,Motos,AL2,F-2,9,126.02,0,23/10/2023 UHG
M322,Planta Veracruz,Motos,AL2,F-3,34,0.00,0,23/10/2023 UHG
M323,Planta Veracruz,Motos,AL2,F-4,50,37.50,0,23/10/2023 UHG
M324,Planta Veracruz,Motos,AL2,F-4,62,50.00,0,23/10/2023 UHG
M325,Planta Veracruz,Motos,AL2,F-4,56,21.55,0,23/10/2023 UHG
M326,Planta Veracruz,Motos,AL2,F-4,54,9.00,0,23/10/2023 UHG
M327,Planta Veracruz,Motos,AL2,F-4,60,21.55,0,23/10/2023 UHG
M328,Planta Veracruz,Motos,AL2,F-5,56,9.00,0,23/10/2023 UHG
M329,Planta Veracruz,Motos,AL2,G-1,6,211.96,0,23/10/2023 UHG
M330,Planta Veracruz,Motos,AL2,G-1,1,211.96,0,23/10/2023 UHG
M331,Planta Veracruz,Motos,AL2,G-1,5,0.00,0,23/10/2023 UHG
M332,Planta Veracruz,Motos,AL2,G-2,280,43.43,0,23/10/2023 UHG
M333,Planta Veracruz,Motos,AL2,G-2,90,43.43,0,23/10/2023 UHG
M334,Planta Veracruz,Motos,AL2,G-2,95,25.00,0,23/10/2023 UHG
M335,Planta Veracruz,Motos,AL2,G-2,120,0.00,0,23/10/2023 UHG
M336,Planta Veracruz,Motos,AL2,G-2,90,102.77,0,23/10/2023 UHG
M337,Planta Veracruz,Motos,AL2,G-1,8,0.00,0,23/10/2023 UHG
M338,Planta Veracruz,Motos,AL2,G-2,60,72.29,0,23/10/2023 UHG
M340,Planta Veracruz,Motos,AL2,G-3,58,0.00,0,23/10/2023 UHG
M341,Planta Veracruz,Motos,AL2,G-3,35,0.00,0,23/10/2023 UHG
M342,Planta Veracruz,Motos,AL2,G-3,34,0.00,0,23/10/2023 UHG
M343,Planta Veracruz,Motos,AL2,G-3,10,0.00,0,23/10/2023 UHG
M344,Planta Veracruz,Motos,AL2,G-3,3,0.00,0,23/10/2023 UHG
M345,Planta Veracruz,Motos,AL2,G-3,20,281.65,0,23/10/2023 UHG
M346,Planta Veracruz,Motos,AL2,G-3,7,0.00,0,23/10/2023 UHG
M347,Planta Veracruz,Motos,AL2,G-3,110,0.00,0,23/10/2023 UHG
M348,Planta Veracruz,Motos,AL2,G-4,3,32.63,0,23/10/2023 UHG
M349,Planta Veracruz,Motos,AL2,G-4,6,16.06,0,23/10/2023 UHG
M350,Planta Veracruz,Motos,AL2,G-4,2,0.00,0,23/10/2023 UHG
M351,Planta Veracruz,Motos,AL2,G-4,2,0.00,0,23/10/2023 UHG
M352,Planta Veracruz,Motos,ESTRUCTURAL,RACK1,0,1206.03,0,23/10/2023 UHG
M355,Planta Veracruz,Motos,ESTRUCTURAL,RACK1,0,200.20,0,23/10/2023 UHG
M357,Planta Veracruz,Motos,ESTRUCTURAL,RACK1,0,1120.02,0,23/10/2023 UHG
M358,Planta Veracruz,Motos,ESTRUCTURAL,RACK1,22,2169.83,0,23/10/2023 UHG
M359,Planta Veracruz,Motos,ESTRUCTURAL,RACK1,2,1853.23,0,23/10/2023 UHG
M360,Planta Veracruz,Motos,ESTRUCTURAL,RACK1,4,1768.00,0,23/10/2023 UHG
M361,Planta Veracruz,Motos,ESTRUCTURAL,RACK1,15,304.57,0,23/10/2023 UHG
M362,Planta Veracruz,Motos,ESTRUCTURAL,RACK1,0,349.14,0,23/10/2023 UHG
M363,Planta Veracruz,Motos,ESTRUCTURAL,RACK1,1,464.66,0,23/10/2023 UHG
M364,Planta Veracruz,Motos,ESTRUCTURAL,RACK1,0,0.00,0,23/10/2023 UHG
M365,Planta Veracruz,Motos,ESTRUCTURAL,RACK1,0,0.00,0,23/10/2023 UHG
M366,Planta Veracruz,Motos,ESTRUCTURAL,RACK1,0,0.00,0,23/10/2023 UHG
M367,Planta Veracruz,Motos,ESTRUCTURAL,RACK1,26,487.08,0,23/10/2023 UHG
M368,Planta Veracruz,Motos,ESTRUCTURAL,RACK1,14,841.38,0,23/10/2023 UHG
M369,Planta Veracruz,Motos,ESTRUCTURAL,RACK1,15,604.31,0,23/10/2023 UHG
M370,Planta Veracruz,Motos,ESTRUCTURAL,RACK1,0,697.41,0,23/10/2023 UHG
M371,Planta Veracruz,Motos,ESTRUCTURAL,RACK1,0,347.35,0,23/10/2023 UHG
M372,Planta Veracruz,Motos,ESTRUCTURAL,RACK1,0,0.00,0,23/10/2023 UHG
M373,Planta Veracruz,Motos,ESTRUCTURAL,RACK1,4,635.04,0,23/10/2023 UHG
M374,Planta Veracruz,Motos,ESTRUCTURAL,RACK1,0,275.00,0,23/10/2023 UHG
M375,Planta Veracruz,Motos,ESTRUCTURAL,RACK1,1,2200.00,0,23/10/2023 UHG
M376,Planta Veracruz,Motos,ESTRUCTURAL,RACK1,1,206.34,0,23/10/2023 UHG
M377,Planta Veracruz,Motos,ESTRUCTURAL,RACK1,0,0.00,0,23/10/2023 UHG
M378,Planta Veracruz,Motos,ESTRUCTURAL,RACK1,2,244.40,0,23/10/2023 UHG
M379,Planta Veracruz,Motos,ESTRUCTURAL,RACK1,0,313.10,0,23/10/2023 UHG
M380,Planta Veracruz,Motos,ESTRUCTURAL,RACK1,0,470.00,0,23/10/2023 UHG
M381,Planta Veracruz,Motos,ALMACEN FALCON,0,57,1116.18,0,23/10/2023 UHG
M382,Planta Veracruz,Motos,ALMACEN FALCON,0,30,1116.18,0,23/10/2023 UHG
M383,Planta Veracruz,Motos,ALMACEN FALCON,0,60,1116.18,0,23/10/2023 UHG
M384,Planta Veracruz,Motos,CONTENEDOR 2,0,10,10441.69,0,23/10/2023 UHG
M385,Planta Veracruz,Motos,CONTENEDOR 2,0,60,10441.69,0,23/10/2023 UHG
M386,Planta Veracruz,Motos,CONTENEDOR 2,0,10,4176.68,0,23/10/2023 UHG
M387,Planta Veracruz,Motos,CONTENEDOR 2,0,20,4176.68,0,23/10/2023 UHG
M388,Planta Veracruz,Motos,AL2,H-4,5,2412.39,0,23/10/2023 UHG
M389,Planta Veracruz,Motos,AL2,H-3,28,252.04,0,23/10/2023 UHG
M390,Planta Veracruz,Motos,CONTENEDOR 2,0,11,864.14,0,23/10/2023 UHG
M391,Planta Veracruz,Motos,CONTENEDOR 2,0,20,864.14,0,23/10/2023 UHG
M392,Planta Veracruz,Motos,CONTENEDOR 2,0,40,864.14,0,23/10/2023 UHG
M393,Planta Veracruz,Motos,CONTENEDOR 2,0,10,2412.39,0,23/10/2023 UHG
M394,Planta Veracruz,Motos,CONTENEDOR 2,0,20,2412.39,0,23/10/2023 UHG
M395,Planta Veracruz,Motos,CONTENEDOR 2,0,10,151.22,0,23/10/2023 UHG
M396,Planta Veracruz,Motos,CONTENEDOR 2,0,20,151.22,0,23/10/2023 UHG
M397,Planta Veracruz,Motos,CONTENEDOR 2,0,10,108.02,0,23/10/2023 UHG
M398,Planta Veracruz,Motos,CONTENEDOR 2,0,10,18.00,0,23/10/2023 UHG
M399,Planta Veracruz,Motos,CONTENEDOR 2,0,20,18.00,0,23/10/2023 UHG
M400,Planta Veracruz,Motos,CONTENEDOR 2,0,9,18.00,0,23/10/2023 UHG
M401,Planta Veracruz,Motos,CONTENEDOR 2,0,20,18.00,0,23/10/2023 UHG
M402,Planta Veracruz,Motos,CONTENEDOR 2,0,25,18.00,0,23/10/2023 UHG
M403,Planta Veracruz,Motos,CONTENEDOR 2,0,49,18.00,0,23/10/2023 UHG
M404,Planta Veracruz,Motos,CONTENEDOR 2,0,10,25.20,0,23/10/2023 UHG
M405,Planta Veracruz,Motos,CONTENEDOR 2,0,17,25.20,0,23/10/2023 UHG
M406,Planta Veracruz,Motos,CONTENEDOR 2,0,10,97.22,0,23/10/2023 UHG
M407,Planta Veracruz,Motos,CONTENEDOR 2,0,126,0.00,0,23/10/2023 UHG
M408,Planta Veracruz,Motos,CONTENEDOR 2,0,18,5.40,0,23/10/2023 UHG
M409,Planta Veracruz,Motos,CONTENEDOR 2,0,9,39.61,0,23/10/2023 UHG
M410,Planta Veracruz,Motos,CONTENEDOR 2,0,10,90.01,0,23/10/2023 UHG
M411,Planta Veracruz,Motos,CONTENEDOR 2,0,20,90.01,0,23/10/2023 UHG
M412,Planta Veracruz,Motos,CONTENEDOR 2,0,8,421.27,0,23/10/2023 UHG
M413,Planta Veracruz,Motos,CONTENEDOR 2,0,20,421.27,0,23/10/2023 UHG
M414,Planta Veracruz,Motos,CONTENEDOR 2,0,11,203.00,0,23/10/2023 UHG
M415,Planta Veracruz,Motos,CONTENEDOR 2,0,6,0.00,0,23/10/2023 UHG
M416,Planta Veracruz,Motos,CONTENEDOR 2,0,10,0.00,0,23/10/2023 UHG
M417,Planta Veracruz,Motos,CONTENEDOR 2,0,68,108.02,0,23/10/2023 UHG
M418,Planta Veracruz,Motos,CONTENEDOR 2,0,8,198.03,0,23/10/2023 UHG
M419,Planta Veracruz,Motos,CONTENEDOR 2,0,20,198.03,0,23/10/2023 UHG
M420,Planta Veracruz,Motos,CONTENEDOR 2,0,18,5.40,0,23/10/2023 UHG
M421,Planta Veracruz,Motos,CONTENEDOR 2,0,116,0.00,0,23/10/2023 UHG
M422,Planta Veracruz,Motos,CONTENEDOR 2,0,28,0.00,0,23/10/2023 UHG
M423,Planta Veracruz,Motos,CONTENEDOR 2,0,41,36.01,0,23/10/2023 UHG
M424,Planta Veracruz,Motos,CONTENEDOR 2,0,327,14.40,0,23/10/2023 UHG
M425,Planta Veracruz,Motos,CONTENEDOR 2/TAPICERIA,0,70,0.00,0,23/10/2023 UHG
M426,Planta Veracruz,Motos,CONTENEDOR 2,0,67,5580.90,0,23/10/2023 UHG
M427,Planta Veracruz,Motos,CONTENEDOR 2,0,9,252.04,0,23/10/2023 UHG
M428,Planta Veracruz,Motos,CONTENEDOR 2,0,20,252.04,0,23/10/2023 UHG
M429,Planta Veracruz,Motos,TAPICERIA,0,20,486.08,0,23/10/2023 UHG
M430,Planta Veracruz,Motos,TAPICERIA,0,20,828.13,0,23/10/2023 UHG
M431,Planta Veracruz,Motos,TAPICERIA,0,19,108.02,0,23/10/2023 UHG
M432,Planta Veracruz,Motos,TAPICERIA,0,68,190.24,0,23/10/2023 UHG
M433,Planta Veracruz,Motos,TAPICERIA,0,10,244.84,0,23/10/2023 UHG
M435,Planta Veracruz,Motos,TAPICERIA,0,10,342.06,0,23/10/2023 UHG
M436,Planta Veracruz,Motos,TAPICERIA,0,20,342.06,0,23/10/2023 UHG
M437,Planta Veracruz,Motos,TAPICERIA,0,30,50.41,0,23/10/2023 UHG
M438,Planta Veracruz,Motos,TAPICERIA,0,66,979.36,0,23/10/2023 UHG
M439,Planta Veracruz,Motos,TAPICERIA,0,20,0.00,0,23/10/2023 UHG
M440,Planta Veracruz,Motos,TAPICERIA,0,10,90.01,0,23/10/2023 UHG
M441,Planta Veracruz,Motos,TAPICERIA,0,20,90.01,0,23/10/2023 UHG
M442,Planta Veracruz,Motos,TAPICERIA,0,10,918.15,0,23/10/2023 UHG
M445,Planta Veracruz,Motos,TAPICERIA,0,20,360.06,0,23/10/2023 UHG
M446,Planta Veracruz,Motos,TAPICERIA,0,19,68.41,0,23/10/2023 UHG
M447,Planta Veracruz,Motos,TAPICERIA,0,10,68.41,0,23/10/2023 UHG
M448,Planta Veracruz,Motos,TAPICERIA,0,20,68.41,0,23/10/2023 UHG
M451,Planta Veracruz,Motos,TAPICERIA,0,30,0.00,0,23/10/2023 UHG
M452,Planta Veracruz,Motos,TAPICERIA,0,20,54.01,0,23/10/2023 UHG
M453,Planta Veracruz,Motos,TAPICERIA,0,20,0.00,0,23/10/2023 UHG
M454,Planta Veracruz,Motos,TAPICERIA,0,93,3.60,0,23/10/2023 UHG
M455,Planta Veracruz,Motos,TAPICERIA,0,31,32.41,0,23/10/2023 UHG
M456,Planta Veracruz,Motos,TAPICERIA,0,20,111.62,0,23/10/2023 UHG
M457,Planta Veracruz,Motos,TAPICERIA,0,9,61.21,0,23/10/2023 UHG
M458,Planta Veracruz,Motos,TAPICERIA,0,67,108.02,0,23/10/2023 UHG
M459,Planta Veracruz,Motos,TAPICERIA,0,10,147.62,0,23/10/2023 UHG
M460,Planta Veracruz,Motos,TAPICERIA,0,67,0.00,0,23/10/2023 UHG
M462,Planta Veracruz,Motos,TAPICERIA,0,10,277.24,0,23/10/2023 UHG
M463,Planta Veracruz,Motos,TAPICERIA,0,39,277.24,0,23/10/2023 UHG
M464,Planta Veracruz,Motos,TAPICERIA,0,20,306.05,0,23/10/2023 UHG
M465,Planta Veracruz,Motos,TAPICERIA,0,20,86.41,0,23/10/2023 UHG
M466,Planta Veracruz,Motos,TAPICERIA,0,18,198.03,0,23/10/2023 UHG
M467,Planta Veracruz,Motos,TAPICERIA,0,54,0.00,0,23/10/2023 UHG
M468,Planta Veracruz,Motos,TAPICERIA,0,68,147.86,0,23/10/2023 UHG
M469,Planta Veracruz,Motos,TAPICERIA,0,30,343.06,0,23/10/2023 UHG
M470,Planta Veracruz,Motos,TAPICERIA,0,30,54.01,0,23/10/2023 UHG
M471,Planta Veracruz,Motos,TAPICERIA,0,30,10.80,0,23/10/2023 UHG
M472,Planta Veracruz,Motos,TAPICERIA,0,68,360.06,0,23/10/2023 UHG
M473,Planta Veracruz,Motos,TAPICERIA,0,40,108.02,0,23/10/2023 UHG
M474,Planta Veracruz,Motos,TAPICERIA,0,30,108.02,0,23/10/2023 UHG
M475,Planta Veracruz,Motos,TAPICERIA,0,30,18.00,0,23/10/2023 UHG
M476,Planta Veracruz,Motos,TAPICERIA,0,30,118.82,0,23/10/2023 UHG
M477,Planta Veracruz,Motos,TAPICERIA,0,70,43.21,0,23/10/2023 UHG
M478,Planta Veracruz,Motos,TAPICERIA,0,30,79.21,0,23/10/2023 UHG
M479,Planta Veracruz,Motos,TAPICERIA,0,45,186.72,0,23/10/2023 UHG
M481,Planta Veracruz,Motos,TAPICERIA,0,10,450.07,0,23/10/2023 UHG
M482,Planta Veracruz,Motos,TAPICERIA,0,30,25.20,0,23/10/2023 UHG
M483,Planta Veracruz,Motos,TAPICERIA,0,30,93.62,0,23/10/2023 UHG
M484,Planta Veracruz,Motos,TAPICERIA,0,30,93.62,0,23/10/2023 UHG
M485,Planta Veracruz,Motos,TAPICERIA,0,20,0.00,0,23/10/2023 UHG
M486,Planta Veracruz,Motos,TAPICERIA,0,29,198.03,0,23/10/2023 UHG
M487,Planta Veracruz,Motos,TAPICERIA,0,20,86.41,0,23/10/2023 UHG
M488,Planta Veracruz,Motos,TAPICERIA,0,19,86.41,0,23/10/2023 UHG
M489,Planta Veracruz,Motos,TAPICERIA,0,17,122.42,0,23/10/2023 UHG
M490,Planta Veracruz,Motos,TAPICERIA,0,10,360.06,0,23/10/2023 UHG
M491,Planta Veracruz,Motos,TAPICERIA,0,27,563.65,0,23/10/2023 UHG
M492,Planta Veracruz,Motos,TAPICERIA,0,136,68.41,0,23/10/2023 UHG
M493,Planta Veracruz,Motos,TAPICERIA,0,20,216.03,0,23/10/2023 UHG
M494,Planta Veracruz,Motos,TAPICERIA,0,20,97.22,0,23/10/2023 UHG
M495,Planta Veracruz,Motos,TAPICERIA,0,30,68.41,0,23/10/2023 UHG
M496,Planta Veracruz,Motos,TAPICERIA,0,50,129.62,0,23/10/2023 UHG
M497,Planta Veracruz,Motos,TAPICERIA,0,10,0.00,0,23/10/2023 UHG
M498,Planta Veracruz,Motos,TAPICERIA,0,90,108.02,0,23/10/2023 UHG
M499,Planta Veracruz,Motos,TAPICERIA,0,50,108.02,0,23/10/2023 UHG
M500,Planta Veracruz,Motos,TAPICERIA,0,30,90.01,0,23/10/2023 UHG
M501,Planta Veracruz,Motos,TAPICERIA,0,10,111.62,0,23/10/2023 UHG
M502,Planta Veracruz,Motos,TAPICERIA,0,20,288.05,0,23/10/2023 UHG
M504,Planta Veracruz,Motos,TAPANGO,0,68,0.00,0,23/10/2023 UHG
M505,Planta Veracruz,Motos,ALMACEN FALCON,0,34,756.12,0,23/10/2023 UHG
M506,Planta Veracruz,Motos,AL2,0,69,0.00,0,23/10/2023 UHG
M507,Planta Veracruz,Motos,AL2,0,68,0.00,0,23/10/2023 UHG
